True_x,Input_y,Predicted_x
20.0,921.6338,20.529123306274414
20.0,921.5217,20.51955795288086
20.0,921.6076,20.52689552307129
20.0,921.6045,20.526622772216797
20.0,921.5176,20.519210815429688
20.0,921.635,20.529220581054688
20.0,921.5777,20.524333953857422
20.0,921.6014,20.5263671875
20.0,921.6752,20.532638549804688
20.0,921.6144,20.527463912963867
20.0,921.7005,20.534828186035156
20.0,921.5568,20.522554397583008
20.0,921.4764,20.51569175720215
20.0,921.5202,20.519432067871094
20.0,921.7064,20.535327911376953
20.0,921.487,20.516592025756836
20.0,921.6408,20.52971649169922
20.0,921.6505,20.530546188354492
20.0,921.5635,20.52311897277832
20.0,921.5397,20.521099090576172
20.0,921.6409,20.52972412109375
20.0,921.4902,20.516870498657227
20.0,921.4217,20.51102066040039
20.0,921.528,20.520097732543945
20.0,921.6602,20.531375885009766
20.0,921.7558,20.53952407836914
20.0,921.5314,20.520401000976562
20.0,921.4532,20.51369857788086
20.0,921.6301,20.528812408447266
20.0,921.5823,20.52474594116211
20.0,921.6825,20.533275604248047
20.0,921.4804,20.516035079956055
20.0,921.5675,20.523462295532227
20.0,921.7622,20.540077209472656
20.0,921.6297,20.528759002685547
20.0,921.6931,20.534198760986328
20.0,921.5402,20.52114486694336
20.0,921.5613,20.5229434967041
20.0,921.4804,20.516035079956055
20.0,921.6676,20.532005310058594
20.0,921.5214,20.519535064697266
20.0,921.6279,20.52860450744629
20.0,921.6897,20.533889770507812
20.0,921.5482,20.521831512451172
20.0,921.7385,20.538049697875977
20.0,921.5221,20.519582748413086
20.0,921.795,20.54287338256836
20.0,921.6225,20.528162002563477
20.0,921.6406,20.52971649169922
20.0,921.6208,20.52801513671875
27.451,948.4707,26.375810623168945
27.451,948.4528,26.370609283447266
27.451,948.307,26.328277587890625
27.451,948.6113,26.416637420654297
27.451,948.3693,26.346342086791992
27.451,948.4961,26.383188247680664
27.451,948.4904,26.381534576416016
27.451,948.2798,26.32038116455078
27.451,948.5856,26.4091796875
27.451,948.3181,26.331485748291016
27.451,948.6347,26.423431396484375
27.451,948.399,26.35498809814453
27.451,948.4136,26.35922622680664
27.451,948.368,26.34598731994629
27.451,948.4307,26.364187240600586
27.451,948.3145,26.3304443359375
27.451,948.483,26.379379272460938
27.451,948.2835,26.32145118713379
27.451,948.4339,26.365135192871094
27.451,948.1883,26.293806076049805
27.451,948.3716,26.347028732299805
27.451,948.4547,26.371152877807617
27.451,948.3268,26.334014892578125
27.451,948.366,26.34540367126465
27.451,948.3951,26.353843688964844
27.451,948.3962,26.354183197021484
27.451,948.5673,26.403841018676758
27.451,948.3358,26.336627960205078
27.451,948.2793,26.32022476196289
27.451,948.5561,26.40060806274414
27.451,948.3736,26.347610473632812
27.451,948.4611,26.373016357421875
27.451,948.5108,26.387454986572266
27.451,948.3539,26.34188461303711
27.451,948.5163,26.389049530029297
27.451,948.2634,26.31559944152832
27.451,948.397,26.354402542114258
27.451,948.2557,26.31337547302246
27.451,948.2891,26.323074340820312
27.451,948.4619,26.37326431274414
27.451,948.3344,26.33624839782715
27.451,948.4418,26.367401123046875
27.451,948.5174,26.389368057250977
27.451,948.417,26.36019515991211
27.451,948.3249,26.333473205566406
27.451,948.5819,26.408096313476562
27.451,948.3643,26.344907760620117
27.451,948.4353,26.365520477294922
27.451,948.3452,26.3393497467041
27.451,948.5682,26.40411949157715
34.902,974.9514,34.065589904785156
34.902,974.7392,34.00395965576172
34.902,974.7275,34.00056076049805
34.902,974.9199,34.056434631347656
34.902,974.7878,34.01808547973633
34.902,974.7919,34.01926803588867
34.902,974.8398,34.03318405151367
34.902,974.9827,34.07468032836914
34.902,974.7723,34.013587951660156
34.902,974.9097,34.053466796875
34.902,974.8026,34.02238464355469
34.902,974.7338,34.00239562988281
34.902,974.8417,34.03371810913086
34.902,974.8839,34.04598617553711
34.902,974.8549,34.03756332397461
34.902,974.8985,34.050228118896484
34.902,974.732,34.00187301635742
34.902,974.726,34.00013732910156
34.902,974.9026,34.05141067504883
34.902,974.6975,33.99184799194336
34.902,975.0126,34.08336639404297
34.902,974.8687,34.04155731201172
34.902,974.8934,34.04874038696289
34.902,974.7767,34.01485824584961
34.902,974.7476,34.006412506103516
34.902,974.8243,34.02867126464844
34.902,974.8606,34.03919982910156
34.902,974.7657,34.01165008544922
34.902,974.769,34.01262283325195
34.902,974.7814,34.0162353515625
34.902,974.9059,34.05237579345703
34.902,974.9063,34.052490234375
34.902,974.9631,34.06898498535156
34.902,974.9296,34.05925369262695
34.902,974.7239,33.999534606933594
34.902,974.7894,34.0185546875
34.902,974.7867,34.017757415771484
34.902,974.7648,34.01140594482422
34.902,974.894,34.04891586303711
34.902,974.9842,34.07509994506836
34.902,974.7172,33.9975700378418
34.902,974.7451,34.005680084228516
34.902,974.8447,34.03459548950195
34.902,974.9053,34.05220413208008
34.902,974.7603,34.010101318359375
34.902,974.7676,34.01221466064453
34.902,974.8732,34.04287338256836
34.902,974.858,34.0384635925293
34.902,974.7758,34.014583587646484
34.902,974.7749,34.01432418823242
42.3529,1000.8648,41.59061813354492
42.3529,1000.8411,41.58373260498047
42.3529,1000.8812,41.59539031982422
42.3529,1000.8718,41.5926513671875
42.3529,1000.8253,41.57915115356445
42.3529,1000.8166,41.576629638671875
42.3529,1000.8447,41.58478927612305
42.3529,1000.9569,41.61737060546875
42.3529,1000.8074,41.57395935058594
42.3529,1000.8303,41.58060836791992
42.3529,1000.7737,41.56416320800781
42.3529,1000.7699,41.56306838989258
42.3529,1000.6518,41.528770446777344
42.3529,1000.7962,41.57071304321289
42.3529,1000.7181,41.54803466796875
42.3529,1000.8388,41.583072662353516
42.3529,1000.8816,41.59550094604492
42.3529,1000.8093,41.57451248168945
42.3529,1000.9173,41.60586166381836
42.3529,1000.8782,41.59450912475586
42.3529,1000.8606,41.58940887451172
42.3529,1000.8287,41.58013153076172
42.3529,1000.7658,41.561885833740234
42.3529,1000.8088,41.57437515258789
42.3529,1000.8617,41.589725494384766
42.3529,1000.8954,41.599510192871094
42.3529,1000.8408,41.58365249633789
42.3529,1000.7974,41.571067810058594
42.3529,1000.9386,41.612060546875
42.3529,1000.7764,41.56494903564453
42.3529,1000.8171,41.576778411865234
42.3529,1000.8873,41.59716033935547
42.3529,1000.8575,41.58849334716797
42.3529,1000.7589,41.559871673583984
42.3529,1000.919,41.60636901855469
42.3529,1000.9428,41.61326599121094
42.3529,1000.8164,41.57658004760742
42.3529,1000.8968,41.599918365478516
42.3529,1000.9382,41.611934661865234
42.3529,1000.8313,41.58089065551758
42.3529,1000.6689,41.53373336791992
42.3529,1000.8243,41.5788688659668
42.3529,1000.8812,41.59539031982422
42.3529,1000.8541,41.587520599365234
42.3529,1000.7871,41.56806945800781
42.3529,1000.8447,41.58478927612305
42.3529,1000.9181,41.606101989746094
42.3529,1000.8294,41.58034896850586
42.3529,1000.8723,41.592803955078125
42.3529,1000.7796,41.565887451171875
49.8039,1026.4095,49.00860595703125
49.8039,1026.5722,49.05584716796875
49.8039,1026.3343,48.98675537109375
49.8039,1026.2229,48.954410552978516
49.8039,1026.6082,49.06629180908203
49.8039,1026.4081,49.00818634033203
49.8039,1026.4149,49.01016616821289
49.8039,1026.3642,48.995445251464844
49.8039,1026.413,49.00961685180664
49.8039,1026.3713,48.99750518798828
49.8039,1026.4774,49.02830505371094
49.8039,1026.2485,48.96183776855469
49.8039,1026.3232,48.98353958129883
49.8039,1026.3138,48.980812072753906
49.8039,1026.4289,49.01423263549805
49.8039,1026.3103,48.97979736328125
49.8039,1026.4045,49.00714111328125
49.8039,1026.4356,49.01617431640625
49.8039,1026.3592,48.993988037109375
49.8039,1026.4374,49.01670455932617
49.8039,1026.4635,49.02427291870117
49.8039,1026.284,48.97216033935547
49.8039,1026.4782,49.028533935546875
49.8039,1026.3976,49.00514602661133
49.8039,1026.4168,49.01072311401367
49.8039,1026.3978,49.00520324707031
49.8039,1026.3354,48.987083435058594
49.8039,1026.3607,48.99443054199219
49.8039,1026.3853,49.00157165527344
49.8039,1026.3517,48.991817474365234
49.8039,1026.5962,49.06281661987305
49.8039,1026.304,48.97796630859375
49.8039,1026.557,49.05143737792969
49.8039,1026.2958,48.97557830810547
